,City,Price,Title,bedroom,ft
739,"3CountryClubDrive,Manchester",$1875,"River's Edge , Luxury 55+ Condos in Manchester",2br,1470ft2
740,Derry,$1600,"Large 2 to 3 BR Duplex unit, 5 acres - avail. Jan 1",3br,1550ft2
741,SouthStreet,$2075,Single Family House Downtown Historic Exeter,3br,
742,Laconia,$1255,Walk in Closet for this 2 Bedroom/1 Ba unit at Apple Ridge,2br,984ft2
743,"86UnionStreet,Manchester,NH",$1559,** Huge 2 BR Townhouse In Manchester - No Security Deposit Required!,2br,1200ft2
744,Hooksett,$1589,"Lovely Condo for Rent!  Central Air, Gourmet Kitchen, 2BR/2BA !!!!!",2br,1152ft2
745,ClintonMaine,$1000,Medical caregivers,5br,
746,,$1806,"2 bedroom - Plank flooring, Carports available, Adjustable track lighting",2br,949ft2
747,Manchester,$2199,LOOK---- New Lower Price-----Single Family House - 5BR/,5br,1774ft2
748,"180NorthMainStreet,Boscawen,NH",$999,** Quiet Country Setting - Amazing 2 Bedroom Apartment For Rent!,2br,700ft2
749,Salem-You'lllovelivinghere!,$1770,Salem - Brand New & Gorgeous! Balcony -Pool -Gym -Clubhouse -Pet Spa!,1br,
750,"OldBrownAvenue,Manchester,NH",$1079,**  Enjoy Free Heat - 1 Bedroom - No Sec. Deposit Required!,1br,468ft2
751,,$1821,"2 bedroom - 24-Hour fitness center, High-speed Internet access",2br,933ft2
752,"Manchester,NH",$1381,Apartment Prices Reduced ~~,2br,985ft2
753,"93WestStreet,Milford,NH",$1099,** Rent Red Oak! Receive The Best Service! Central Vac!,2br,716ft2
754,,$1649,"1 bedroom - Fully applianced kitchens, Year-round BBQ stations",1br,739ft2
755,"EastRidgeDrive,Milford,NH",$2199,** Home Is Where The Heart Is! Central Heat & Air!,3br,1885ft2
756,"90PowersStreet,Milford,NH",$1189,**Relax And Reside At Milford Trails: 1 Bedroom For Rent!,1br,650ft2
757,Manchester,$1810,#207 - 2nd floor Manchester Mill West 2 BR Apartment!,2br,
758,Lebanon,$1785,"Public Transportation, Built In Microwave, Clubhouse, Bike Racks",1br,697ft2
759,Rochester,$1387,Recently Renovated 3-BR w/Spacious Backyard,3br,
760,Pelham,$950,Private Country Setting * Heat and Hot Water Included,1br,
761,Concord/Penacook,$1035,Affordable living with picture perfect views at Oak Creek,2br,820ft2
762,LONDONDERRYEXIT5,$2100,4 BEDROOM DUPLEX,4br,1600ft2
763,,$2410,"State-of-the-Art Fitness Center, Spacious Closets, Wood-style Flooring",2br,919ft2
764,"20SentinelCourt,Manchester,NH",$1239,** It's A Pet Friendly Apartment In Manchester!,1br,617ft2
765,Manchester,$1810,"#243 - Adorable, Historic, & Comfy 2 BR in Manchester's Mill West",2br,
766,HamptonBeach,$329,Cozy 2-BR Cottage w/Most Utils Included!,2br,
767,Hampton,$329,Cozy 2-BR W/D & Most Utilities Included,2br,
768,Portsmouth,$2000,"Recently Updated 1 BR, 1.5 Bath w/ Parking",,
769,Hampton,$350,Cozy Studio Newly Redone Everything Included,,
770,Hampton,$350,"Beautiful Studio, Newly Redone, All Utils Included",,
771,Hampton,$369,Cozy 2-BR Utils Included Brand-New Granite Countertops,2br,
772,"80EasternAvenue,Manchester,NH",$1299,** Pet Friendly And Sunset Views!  2 Bedroom Apartment For Rent!,2br,833ft2
773,,$1250,Large 3 Bedroom Apartment in Manchester,3br,1400ft2
774,NorwayPlainsComplex,$1195,2 Bdrm  Heat&Hot water incl. $1195 Rochester,2br,
775,,$995,1 Bedroom in Somersworth  $995 includes heat,1br,
776,,$1595,3 bedroom Townhouse in Dover $1595+,3br,
777,,$995,$995+ 2Bedroom Somersworth 600sq ft Open concept,2br,
778,"95PowersSt.,Milford,NH",$1269,WINTER IS UPON US!!DON'T WAIT OR THIS APT. WILL BE GONE!!,2br,950ft2
779,Milford,$2199,Huge 3 Bedroom Townhome! Brand New!,3br,1885ft2
780,"36FarmingtonRoad,Route11,Rochester",$995,Great Commuter Location - Updated - Spacious,2br,994ft2
781,"4OrangeStreet,#3,Farmington",$1000,Spacious 3 BR - Near town & bus route,3br,
782,536HollyAveManchesternh,$1300,**BEWARE** 536 Holly Ave Manch.,2br,
783,Milford,$1449,Stylish and chic 1 Bedroom for Rent! No Security Deposit!,1br,658ft2
784,57VarneyStreet,$1400,3 Bedroom House,3br,1100ft2
785,123UnionAve&5WinterStreet,$750,Laconia NH 1 bedroom,1br,
786,"Nashua,NH",$1350,"2bdr totally updated, heat and hot water included, off exit 1",2br,1000ft2
787,ManchesterNH,$1300,4 Bedroom - 318 Concord Street Manchester,4br,1200ft2
788,203WilsonStreetManchesterNH,$1100,3 Bedroom very large apartment available,3br,1200ft2
789,"10SentinelCourt,ManchesterNH",$1329,NEW PRICE & MI Special! Handicap Accessible!,2br,861ft2
790,"21DMechanicSt.Farmington,NH",$775,1 bedroom / 1 bath,,
791,"175EasternAve,ManchesterNH",$1139,First Floor - Handicap Accessible Apartment For Rent!,1br,633ft2
792,Manchester,$995,***Heat & Hot Water***,1br,1200ft2
793,Portsmouth,$800,"Bedroom available in two bedroom apartment, walk to downtown",2br,
794,"67StarkStManchester,NH",$975,Must See! Downtown 1 BR Apartment!,1br,
795,Dover,$1625,2 bedroom | Updated | HEAT INCLUDED | Walk to Downtown Dover,2br,1000ft2
796,Hampton,$1350,2 bedroom | Duplex Cottage | Year Lease | Hampton Beach,2br,550ft2
797,"144EasternAve#204Manchester,NH",$1150,Spacious 2BR Condo Apartment!,2br,
798,"27StonehengeRd#6Londonderry,NH",$1225,"Charming 2BR Apartment in Londonderry, NH!",2br,
799,"40EasternAve#308Manchester,NH",$1350,Spacious 3 Bedroom Condominium for Rent!,3br,
800,newhampshire ,$1240,Open house and open floor 1750sq ft,3br,1750ft2
801,"Dover,NH",$1100,Great Townhouse For Rent,3br,1769ft2
802,MainstreetRollinsford,$1000,2 Bedrooom Apartment for rent,2br,
803,"Concord,NH",$995,"Excellent Nieghborhood, Nicely Updated and Maintained.",2br,850ft2
804,newhampshire ,$1250,Beautiful house and beautiful parking for rent a honesty family,3br,1800ft2
805,"Salem,NH",$1900,3+ Bedroom Single Family Home for Rent,3br,1200ft2
806,NASHUA,$1300,2 BEDROOM/HOUSE FOR RENT,2br,
807,Stratham,$700,Apartment on Horse Farm,,
808,"DowntownDover,WalktoEverything",$1800,"3 Bedrooms, Washer & Dryer, Dover",3br,
809,concordnh,$1500,3br Downtown Concord,3br,1500ft2
810,"DOVER,NH",$1500,"3 BR Apt Heat Included, New Paint Throughout",3br,1200ft2
811,Peterborough,$1200,Remodeled 2 bedroom with Laundry & Parking,2br,
812,MOULTONBOROUGH,$1400,"House for rent, Winnipesaukee access home",3br,2000ft2
813,Concord/Penacook,$1035,Best Deal Around - Free Heat 1 Year - Beautiful Oak Creek - Concord,2br,850ft2
814,"Gilford,NH.",$1300,"***Studio Rental,at lake Winnipesaukee!***",,
815,Manchester,$1600,3 bedrooms with a garage,3br,3072ft2
816,"Manchester,NH",$1475,2bd/1bath Corner in Elevator bldg Available Now!,2br,975ft2
817,BerwickSomersworth,$1275,"(PENDING) 2 bdr duplex, walk to restaurants, entertainment & shops!",2br,
818,,$1400,Monroe NH 3 bedroom house for rent,3br,1400ft2
819,"1201/2KinsleySt.Nashua,NH",$1250,2 Bedroom/1 Bath,850ft2,
820,,$995,For rent Historic downtown Manchester.,1br,700ft2
821,Claremont,$895,1 bedroom,1br,
822,"Manchester,NH",$1580,"2 Bed, 1.5 bath, must see apartment home with updated kitchen!",2br,1050ft2
823,"Conway,NH",$1080,32 Hurricane Mountain Rd,3br,2233ft2
824,"Conway,NH",$1080,32 Hurricane Mountain Rd,3br,2233ft2
825,"Manchester,NH",$1475,"Top floor corner unit w/Elevator, available now!",2br,975ft2
826,Portsmouth,$1195,Newly renovated 1 Bedroom in Portsmouth,1br,700ft2
827,LafayetteStreetRochesterNH,$800,Two bedrooms convenient downtown area,2br,
828,110palmst,$1300,Large updated 1 bedroom,1br,800ft2
829,"Manchester,NH",$1455,2 bd/1 bth Corner w/HEAT & HOT WATER INCLUDED for COMING COLD!,2br,975ft2
830,Exeter,$1,Were you scammed?,,
831,Portsmouth,$1000,"1BR, Offstreet parking, Heat included",1br,
832,MainStreet,$1400,One Bedroom Apartment in Epping First Floor,1br,523ft2
833,manchester,$1250,North End Apartment,2br,930ft2
834,Salem-You'lllovelivinghere!,$1795,Salem - Brand New & Gorgeous! Balcony -Pool -Gym -Clubhouse -Pet Spa!,1br,
835,Salem-You'lllovelivinghere!,$1770,Salem - Brand New & Gorgeous! Balcony -Pool -Gym -Clubhouse -Pet Spa!,1br,
836,Salem-Pool-Gym-Clubroom-Grills-PetFriendly!,$2195,Brand Spanking New! Great Location! 2 Full Baths-Washer/Dryer-Balcony!,2br,
837,303PineSt.,$850,1 Bedroom Apt - Ht & Ht Water Included -,1br,575ft2
838,392KelleySt,$1050,Large 1 Bedroom plus 1 Offstreet Parking Spot,1br,1050ft2
839,"Franklin,NH",$1000,Franklin Duplex for rent,2br,900ft2
840,Kennebunk,$1500,"Home Winter Rental 12/1/18-6/1/19 Downtown Kennebunk, ME",3br,2500ft2
841,,$1975,"Pelham 2-Bedroom 1-1/2 Bath for Rent  $1,975",2br,1500ft2
842,"Hudson,nh",$1600,"1 mile to schools, next to Hannafords",2br,1350ft2
843,Wolfeboro,$1050,Ranch style house for rent,2br,1100ft2
844,487claystreet,$1200,Large 3 bedroom,3br,
845,"Bradford,MA",$1550,Beautiful 2BR Apartment Available on Corner Lot w Off-Street Parking,2br,915ft2
846,"MANCHESTER,NH",$1000,MANCHESTER FIRST FLOOR 1 BEDROOM APT,1br,
847,Dover,$1400,HEAT INCLUDED in 1st Floor 2 BR Dover Point Road Duplex,2br,
848,Claremont,$1200,Spacious 2 Bedroom- Heat Included!,2br,1050ft2
849,OldConcordTpkRt4,$1250,1 BR - Barrington (Half mile from Lee Circle),1br,
850,Jaffrey,$1375,Cozy 3 Bedroom Ranch in Monadnock Region - Available Jan. 1st,3br,1600ft2
851,Portsmouth,$2500,"3 BR, Portsmouth, Short Walk to Piscataqua River",3br,
852,Concord/Penacook,$1035,Falling leaves means Fall specials~FREE heat for a year,2br,820ft2
853,,$2450,4-Bedroom on quiet cul-de-sac,4br,2665ft2
854,NashuanearLakeStreet,$1700,Spacious Antique Two-Story Apartment,2br,1275ft2
855,Pelham,$1200,"$1200- One bedroom/Bath, Utilities Included, WiFI, CTV",1br,700ft2
856,Tilton,$900,Spacious newly renovated 2 bedroom on one way street,2br,1200ft2
857,300BedfordSt,$1200,2bdrm apartment,2br,1300ft2
858,"Milford,NH",$2150,Waterfront Single Fam House - All new renovations inside/out,2br,
859,Manchester,$1890,Private Entrance 2 Bedroom Manchester Mill Apartment (ALL12),2br,1090ft2
860,Manchester,$1810,"Adorable, Historic, & Comfy 2 BR in Manchester's Mill West (207)",2br,1035ft2
861,Lawrence,$2500,Free Rent Just Before The Holidays? Perfect! #8417,3br,
862,Laocnia,$1255,Don't Settle for Less!!! Apple Ridge is your affordable dream home!,2br,984ft2
863,Nashua,$1575,Love to Cook? These Newly Renovated Kitchens are Made for You! #116,1br,883ft2
864,Manchester,$1850,2 BR 1 Bathroom River/City Facing Manchester Apartment. Mill West(311),2br,1035ft2
865,Nashua,$2125,Breath Taking Townhouse Style Apartment With 1 Month *FREE*! #339,2br,1403ft2
866,Laconia,$1255,Want to live in the Newest Community in Laconia? Check out Apple Ridge,2br,984ft2
867,Nashua,$1870,Warm Up By Our Fireplace's at Lofts 34!,908ft2,
868,Nashua,$2375,"Head-turning Style, Extraordinary Location at Lofts 34!",2br,1402ft2
869,Walnutst,$1250,Clean and quiet-all utilities included,2br,
870,Nashua,$1825,Life Just Got Better at Lofts 34!,2br,951ft2
871,69pinkhamrdleenh,$900,$ 900  Lee NH small 2 brm 2 nd floor,2br,600ft2
872,"Bedford,N.H.",$350,Half Duplex for rent,2br,900ft2
873,Manchester,$1785,Cozy Up to Your Own Fireplace This Season at Mill West! #313,2br,1100ft2
874,"10SentinelCt,ManchesterNH",$1329,1st Floor Apartment with Full Size W/D & Bathroom Grab Bars!,2br,861ft2
875,Nashua,$1495,Save Time Searching for Your New Apartment Home!,2br,980ft2
876,Salem-You'lllovelivinghere!,$1895,Salem - Brand New & Gorgeous! Balcony -Pool -Gym -Clubhouse -Pet Spa!,1br,
877,Salem-HandytoI-93,$2185,Never Been Lived In! Gorgeous New Luxury Unit! Pet Friendly! NO FEE!,2br,
878,145EasternAveManchesterNH,$1259,2 Bedroom For Rent! First Floor! On-Site Laundry!,2br,733ft2
879,TernburySquare,$1400,Great commuter location in South Nashua,2br,1200ft2
880,centertuftonboro,$1300,Large 1 bedroom apartment with spare room,1br,1000ft2
881,Nashua,$1550,"Beautiful Community, Beautiful Apartment!",2br,1050ft2
882,119EasternAveManchester,$1299,Settle Into Your New 2 Bedroom Apartment In Time For Winter!,2br,833ft2
883,Newton/southHamptonnh,$1500,Extra large 1 bed possibly 2,1br,1800ft2
884,Keene/Jaffreyarea,$1200,Beautiful lakehome 1+ BR flat (1000 sq. ft.),2br,
885,"Franklin,NH",$1075,Beautifully Renovated 2 bedroom apartment,2br,
886,"411MiddleSt,PortsmouthNH",$1600,Over-sized Studio Apt in Extraordinary Setting/Community,650ft2,
887,Manchester,$1000,"1 bedroom west side, heated full size washer dryer free Internet",1br,700ft2
888,WestChesterfield,$1025,"heat included,spacious and quiet 2 bedroom apt.",2br,
889,Laconia,$1255,Need an Apartment to move in ASAP in Laconia- Call Today!,2br,984ft2
890,Nashua,$1600,Just a Walk Away From Main Street at Lofts 34!,1br,803ft2
891,Manchester,$1850,No Application Fees! Easy Walkability to Elm St. and More #311,2br,1035ft2
892,"20SentinelCourt,ManchesterNH",$1329,Handicap Accessible - Save $ -2 Bdrm/ 2 Bath / Two Car Parking,2br,861ft2
893,"177EasternAveManchester,NH",$1099,Looking For A One Bedroom? Look No More!,1br,633ft2
894,Laconia,$1500,Who Wouldn't want to have a House to themselves in Laconia?,3br,1456ft2
895,"145EasternAve,ManchesterNH",$1259,First Floor Corner Apartment for Rent!,2br,733ft2
896,Manchester,$1890,Don't Let This Apartment Pass You By #LL-12,2br,1090ft2
897,1034LancasterRoad,$575,Pine Tree Apartments - Studio $575.00 - Utilities Included,1br,250ft2
898,1034LancasterRoad,$600,Studio- Utilities Included,1br,
899,Nashua,$1795,Enjoy Indoor Garage Parking at Lofts 34!,1098ft2,
900,274thSt,$2000,"Updated 3-BR, Pets Allowed",3br,1400ft2
901,Manchester,$1810,Pets Welcome! 2BR Upscale Loft Style Apartment #209,2br,1020ft2
902,Manchester,$1810,Cuddle Up in Our Movie Theatre at Lofts of Mill West!,2br,1020ft2
903,,$1821,"2 bedroom- Full-sized washer and dryer in apartment, Central A/C",2br,933ft2
904,,$1649,"1 bedroom - Oversized garden tubs, Package acceptance at Leasing Office",1br,739ft2
905,HolliscrossingNashuaNH,$1500,Condo for rent,2br,
906,"29CapronRd.,Milford,NH",$1169,WARM UP FOR THE WINTER IN THIS COZY 1 BED!!,1br,600ft2
907,SalisburyMA,$1100,"2 bdr steps from ocean, incls heat and electric",2br,
908,153DennettRd,$1175,2 bedroom apartment,2br,800ft2
909,Portsmouth,$2650,Downtown Portsmouth 2 Bed Unfurnished Home,2br,1400ft2
910,"119EasternAve,ManchesterNH",$1299,Moving?? We Have What You Need! Avail. Mid December!,2br,833ft2
911,Pembroke,$1200,Water view 2 bedroom appartment!,2br,800ft2
912,NearDowntownHampton,$2200,4BR 1Bath apartment on second and third floor of house,4br,1800ft2
913,"20SentinelCourt,ManchesterNH",$1329,Check us Out! Open 7 Days/Week! $750 Off 1st Month Rent!,2br,861ft2
914,177EasternAveManchester,$1099,Top Floor 1 Bedroom With A Balcony Mean't For Sunsets!,1br,633ft2
915,"26BathStreet,Manchester,NH",$1029,Save Time! Save Money! Live With Red Oak! Wood Plank Flooring!,1br,660ft2
916,"Haverhill,MA",$1550,Beautiful 2BR Apartment Available on Corner Lot w Off-Street Parking,2br,915ft2
917,"86UnionStreet,Manchester,NH",$1559,See The Red Oak Difference! 1.5 Baths!,2br,1200ft2
918,"Haverhill,MA",$1550,Beautiful 2BR Apartment Available on Corner Lot w Off-Street Parking,2br,915ft2
919,"64MerrimackStreet,Manchester,NH",$879,Heat Included With This Studio Apartment Home!,273ft2,
920,"20SentinelCt,ManchesterNH",$2199,Home Sweet Home! House for Rent - 1st Full Month Special!,5br,1774ft2
921,"20SentinelCt,ManchesterNH",$1329,Special Price - 3rd Floor Two Bedroom with M/I Savings!,2br,861ft2
922,"Claremont,NH",$1300,"Upgraded 3-BR Duplex with Yard, Parking",3br,
923,"180NorthMainStreet,Boscawen,NH",$999,You Are Always #1 With Red Oak! No Security Deposit Required!,2br,700ft2
924,"PinehurstAve.Derry,NH",$1600,3 bedroom/1 bath duplex for rent,3br,1244ft2
925,"3931OldBrownAvenue,Manchester,NH",$1079,Beautiful Second Floor Apartment Available Soon!,1br,468ft2
926,GREATERMANCHESTER,$1,"ATTN PROpERTY OWNER! Debt too High? Don't Lose your Home, WE CAN HELP!",,
927,Portsmouth,$800,Studio Great Location 5 min walk to downtown,,
928,WestChesterfield,$1200,2 Bdrm House For Rent,2br,
929,"93WestStreet,Milford,NH",$1099,Let Us Pay Your Heat & Hot Water = 2 Bedroom Apartment In Milford!,2br,716ft2
930,"16StJohnStreetDover,NH",$1800,3 Bedroom Apartment - Downtown Dover,3br,
931,"80EasternAvenue,Manchester,NH",$833,Sooooo Affordable! Dishwasher In Kitchen! Fully Applianced!,2br,1299ft2
932,"90PowersStreet,Milford,NH",$1289,Completely Modern Apartment! On-site Laundry!,2br,875ft2
933,"EastRidgeDrive,Milford,NH",$2199,The Best Rentals On Craigslist! Stop Looking! Click Here!,3br,1885ft2
934,"30HanoverStreet,Manchester,NH",$1289,Luxurious 1 Bedroom Apartment - No Security Deposit Required!,1br,840ft2
935,Milford,$1369,1 Bedroom in the Newest Community in Milford!,1br,612ft2
936,MilfordNH,$1169,Start the New Year with New Digs! 1 Bedroom available 1/14!!,1br,600ft2
937,"20SentinelCourt,Manchester,NH",$1239,One Of Manchester's Best Places To Live! Pet Friendly Options!,1br,617ft2
938,"Milford,NH",$1269,Check out this large 2 Bedroom available soon! Great location!,2br,
939,"52EastRidgeDr.,Milford,NH",$1689,Milfords Most Desired Location Has Just What you Are Looking For!!,2br,964ft2
940,"188SagamoreStreetManchester,NH",$1500,North-end 3 Bedroom Apartment for rent!,3br,1285ft2
941,Lee,$925,"Bright, Immaculate in Lee",1br,800ft2
942,"593BeechStreet,ManchesterNH",$750,"Renovated Studio, First Floor, Off street parking",425ft2,
943,"188SagamoreStreetManchester,NH",$1550,North-end 3 Bedroom Apartment for rent!,3br,1285ft2
944,"Salem,NH",$1850,Arlington Pond Year Rnd Waterfront Rental,2br,
945,NorthEnd,$1600,"Heat included, North End 3 Bedroom apartment for rent",3br,1379ft2
946,Hampton,$1700,Year Round Beach Apartment for Rent,2br,1440ft2
947,"BELMONT,LACONIA,NH",$220,SMALL COZY ONE BEDROOM IN COUNTRY,1br,
948,Rochester/Gonic,$1250,2 Bedroom Condo,2br,1100ft2
949,,$1200,Updated 2 Bedroom 2 Bathroom Dover Apartment,2br,
950,SeabrookBeach,$2000,Single family home for rent for November 2018- May 2019,3br,
951,"CenterConway,NH",$1700,Mount Washington Valley Rental,3br,2500ft2
952,NASHUA,$1300,LARGE  HOUSE/2 BEDROOM FOR RENT,2br,
953,"Franklin,NH",$975,3 Bedroom 1 Bath Apartment,3br,
954,"LOWELL,MA",$1600,UPPER HIGHLANDS 4 BEDROOM - HEAT AND HOT WATER INC.,4br,
955,SouthNashua,$1550,Apartment for rent till April,2br,1200ft2
956,"NewBoston,NH",$1950,"Short Term, Furnished House",2br,
957,DowntownManchester,$1350,3 Bedrooms apartment in Manchester- Completely Renovated (636 second ),3br,
958,636SecondStinDowntownManchester,$1350,3 Bedrooms apartment in Manchester- Completely Renovated (636 second ),3br,
959,,$1350,3 Bedrooms apartment in Manchester- Completely Renovated (636 second S,3br,
960,Keene,$650,Keene 4 bedroom rental downtown close to keene state,,
961,moultonborough,$700,3 Br 1 Ba house for rent near lake winnipesaukee,3br,1600ft2
962,,$1695,Duplex for rent,,
963,NorthbrookDr,$1300,2 bedroom 1 bath,2br,812ft2
964,"105WoodlandRoad,Hampton",$2850,"Beautiful Ranch Home for Rent - Hampton, NH",3br,2096ft2
965,"Laconia,NH",$925,Absolutely gorgeous 3BR 2 bath manufactured home in beautifully mainta,3br,1344ft2
966,"Claremont,NH",$1100,Two 3 Bdrm units just renovated! Nice street downtown,3br,900ft2
967,Portsmouth,$2150,Portsmouth - Large townhouse executive rental close to downtown,2br,1450ft2
968,"WolfRoad,Lebanon",$1350,1 Bedroom Apt. Newly Constructed Fully Furnished/5 minutes from DHMC.,1br,
969,JennessBeachArea,$1600,Winter Rental Rye Beach,3br,1200ft2
970,Hudson,$850,1 beerool,,
971,ClosetoLawschoolanddowntown,$1050,2 bedroom apartment for rent,2br,1100ft2
972,Nashua,$1900,Walk to Downtown or Stay Home & Enjoy Luxury Amenities at Lofts 34!,2br,1213ft2
973,Manche,$2655,Mill West Is *Stuffed* With Amenities! Upgrade to Luxury Living! #413,2br,1800ft2
974,"Concord,NH",$1300,"- Large rooms HEAT INCLUDED country setting, 5 min. to ConcordHeights",2br,
975,Nashua,$1625,"#127 Spacious, Bright, Historic & 1 Month *FREE* at Lofts 34!",1br,955ft2
976,Nashua,$1795,🍷 🍸 Easy living steps from Nashua's downtown🍹 🍺,2br,1098ft2
977,Nashua,$1795,Move Moew! 🐱 We Love your Furbabies! 🐱  Lofts 34! 208,2br,1098ft2
978,Nashua,$1575,Start fresh! Historic Renovation! Lofts 34! 116,1br,
979,81/2MarkarStNashua,$1025,1 bedroom HOUSE for rent,1br,
980,Laconia,$1255,Change your Apartment/Change your Life in Laconia,2br,984ft2
981,Derry,$1289,"1BR home sweet home, must see amenities!",1br,
982,Nashua,$1650,Come Watch Football in Our Game room at Lofts 34! #LL02,2br,1099ft2
983,Manchester,$1495,DON'T MISS IT - West Side Clean & Extra Large 4 Bedrooms-2nd floor,4br,1600ft2
984,Manchester,$1200,HOUSE-SHARE with RIVER VIEWS Gated Community,2br,2100ft2
985,Manchester,$1635,Modern Amenities. Urban Location. Sophisticated Style.   #104,2br,930ft2
986,"Nashua,NH",$1400,TWO BEDROOM DELUXE APARTMENT,2br,1037ft2
987,"Nashua,NH",$1480,2 Bedroom Deluxe Apartment Available Now,2br,1037ft2
988,nashua,$1350,2 Bed Corner Unit - $100 OFF FIRST MONTHS RENT if you Apply Same Day,2br,832ft2
989,Nashua,$1480,BEAUTIFUL UPDATED 2 BEDROOM AVAILABLE NOW!,2br,1037ft2
990,,$1500,Two Bedroom Apartment $1500 North Nashua Exit 8,2br,850ft2
991,HampsteadNH,$1200,1 Bedroom,1br,
992,HampsteadNH,$1200,1 Bedroom,1br,
993,Nashua,$1500,Available for the New Year! Smoke-free living - prime Nashua location!,2br,750ft2
994,59OldHackettHillRdManchesterNH,$1810,"Regency Heights, Exclusive 55+ Living",2br,1140ft2
995,salem,$2450,Salem Ranch with Garage,,
996,285thStreet,$495,Down Town Dover,1br,500ft2
997,3CountryClubDrManchesterNH,$1875,"River Views!! Rivers Edge, 55+ Luxury Community",2br,1470ft2
998,1850FrontStManchesterNH,$1850,"Fall Into Savings!! Regency West, 55+ Community",2br,1140ft2
999,Nashua,$1650,Your New View Awaits at Lofts 34 in Nashua!  #LL11,1088ft2,
1000,Concord,$1050,Large 5 room 1 bdrm in Victorian. Ht Ht H2O included,1br,
1001,Manchester,$1810,#205 - Original Manchester mill floors in your upgraded Apartment!,2br,
1002,"Manchester,NH",$2090,Overlooking the River & Mountains ~ Manchester's Lofts at Mill #1,2br,1044ft2
1003,"Manchester,NH",$1755,2019 Will Be Your Year to Live at Manchester's Lofts at Mill #1,2br,1064ft2
1004,"Nashua,NH",$1400,Beautiful 2Bed/1Bath,2br,1000ft2
1005,Concord/Penacook,$1035,Affordable Luxury - Beautiful 2 Bedroom at Oak Creek in Concord,2br,850ft2
1006,MerrimackStreet,$864,AFFORDABLE RENT NEEDED!? CLEAN/UPDATED/GREAT LOCATION!,2br,678ft2
1007,"95PowersSt.,Milford,NH",$1189,WOOF!MEOW! YOUR PETS ARE SURE TO LOVE THIS 1 BEDROOM!!,1br,650ft2
1008,"108WMainStreet,Merrimac,MA",$1975,Reserve Your New Apartment Today!!,2br,1123ft2
1009,"Milford,NH",$1189,Rent a spacious 1br this holiday season! Pet Friendly!,1br,650ft2
1010,"Lebanon,NH",$2125,"Granite, Fireplace, Garage 3 Br 2.5 Ba in Lebanon!",3br,1706ft2
1011,"Lebanon,NH",$2125,Great Looking Townhouse! Prospect Hills,3br,1706ft2
1012,Lebanon,$1725,"High Speed Internet, Stainless Steel Appliances, On-Site Maintenance",1br,697ft2
1013,Manchester,$1145,Walk your pet ~ Picnic under the pines ~ Renovated ~ Rural Area ~,1br,
1014,Manchester,$1145,~ Laundry on site ~ Renovated ~ Bamboo flooring ~ Close to shopping ~,1br,
1015,Manchester,$1145,Close to shopping and the highways ~ Rural Area ~ Southside Manor ~,1br,
1016,NewDurham,$45,FURNISHED Short Term rental betw New Durham & Lake Winnepesaukee!,1br,700ft2
1017,BroadwayAve,$1595,"Updated, Quiet, Safe - LARGE 3 bedroom",3br,1100ft2
1018,Nashua,$1345,Large Top Floor 2 BR for a Great Price!!,2br,980ft2
1019,"1400FrontSt.,Manchester",$1425,"Regency Place, Premier 55+ Apartments",1br,750ft2
1020,"Manchester,NH",$2090,Unique Floorplan & Fireplace in This Manchester Loft @ Mill #1,2br,1107ft2
1021,26depotst2ndfloor,$749,"Hillsborough, large 1 to 2br being renovated $749",1br,750ft2
1022,MilfordNH,$1689,Holidays are coming> The Ridge at Eastern Trails 2 bedroom awaits YOU!,2br,964ft2
1023,Warner,$875,Quiet 1 Bedroom apartments in Warner (Close to Concord),1br,
1024,loudon,$1780,Duplex/Condo,3br,1800ft2
1025,59OldHackettHillRdManchesterNH,$1810,"Regency Heights, Exclusive 55+ Living",2br,1140ft2
1026,Milford,$1269,Country Living! Cozy 2 bedroom Surrounded by Beautiful Landscaping,2br,875ft2
1027,Loudon,$1780,duplex/townhouse,3br,1700ft2
1028,EXETERNH,$850,Scott McCarthy SCAM 44 Hampton road Exeter NH,,
1029,EXETERNH,$850,Scott McCarthy SCAM 44 Hampton road Exeter NH,,
1030,3CountryClubDrManchesterNH,$1875,Available Now!  Gorgeous River Views!,2br,1470ft2
1031,Dover,$1509,"Granite Counters, Energy 🌟 Rated, Top Floor/Corner Apt.",2br,
1032,Dover,$1349,Exclusive One Bedroom Available! Call Today to schedule your tour,1br,
1033,"Milford,NH",$1189,Cozy 1 Bedroom coming open for the holidays! Don't wait!,1br,650ft2
1034,Exeter,$1450,2 Bedroom Apartment,2br,
1035,1850FrontStManchesterNH,$1850,Fall Special @Regency West!  55+ Community in Manchester,2br,1140ft2
1036,Laconia,$1255,Hate Hearing Traffic at Night? Apple Ridge Has Tranquil Wooded Views,2br,984ft2
1037,hampton,$2200,Stunning 2 Bedroom with loft Multi Level Contemporary Home,2br,2000ft2
1038,"DowntownManchester,NH",$1069,Luxury 2 room--STUDIO  Available ✫ Downtown Manchester ✫,560ft2,
1039,Lebanon,$2000,"High Ceilings in Select Apartment Homes, Central Air Conditioning",2br,1000ft2
1040,Manchester/Hooksett,$1050,Apt in Quiet Building,2br,
1041,299HanoverStreetManchesterNH,$800,Apartment for Rent,,
1042,Offsouthwillow,$1100,Apartment For Rent,3br,
1043,WestsideofManchester,$950,Apartment for rent-2 bedroom,2br,
